01-16-2015 15:01 (00:10) gshaw1 2019423503020000 1H Chloroform-d VT=No None
01-16-2015 15:34 (00:05) cmeyer7 2018953503020000 1H Chloroform-d VT=No None
01-16-2015 15:59 (00:06) jkessle2 3414043503010001 1H|31P Benzene-d6 VT=No None
01-16-2015 16:21 (00:05) moneill9 2018973503020000 1H Chloroform-d VT=No None
01-16-2015 17:21 (00:19) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
01-16-2015 18:09 (00:02) jkessle2 3414043503010001 1H|31P Benzene-d6 VT=No None
01-17-2015 10:58 (00:38) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
01-17-2015 11:38 (00:06) mhoffbau 3414043503010001 1H Chloroform-d VT=No None
01-17-2015 12:22 (00:08) svilanov 3414043503010001 1H|31P Benzene-d6 VT=No None
01-17-2015 18:18 (05:50) lsun4 3500713112010001 1H DMSO VT=25 None
01-18-2015 09:55 (15:12) dding2 2016733503020000 13C Chloroform-d VT=No None
01-18-2015 13:04 (02:03) hwang11 2016733503020000 1H Chloroform-d|DMSO VT=No None
01-18-2015 13:31 (00:24) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-18-2015 14:20 (00:05) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-18-2015 16:22 (00:10) gkline 3414353101010001 1H DMSO VT=No None
01-18-2015 18:00 (00:51) rcanales 350071311200000010 1H Chloroform-d VT=No None
01-19-2015 10:19 (00:45) esperi 20167  Chloroform-d VT=No None
01-19-2015 11:44 (00:22) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
01-19-2015 12:54 (00:54) ddicosmo 9999999150 1H|31P DMSO VT=No None
01-19-2015 13:30 (00:19) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
01-19-2015 14:00 (00:29) esperi 201673 1H|13C Chloroform-d VT=No None
01-19-2015 14:31 (00:16) cmeyer7 2018953503020000 13C Chloroform-d VT=No None
01-19-2015 14:55 (00:06) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-19-2015 15:31 (00:34) dbabbini 3414043503010001 1H|13C|31P Chloroform-d|Benzene-d6 VT=No None
01-19-2015 15:53 (00:21) esperi 201673 1H|13C Chloroform-d VT=No None
01-19-2015 17:23 (00:24) cmeyer7 2018953503020000 1H|13C Chloroform-d VT=No None
01-19-2015 17:36 (00:05) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-19-2015 19:49 (00:17) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-20-2015 08:52 (00:24) jpontius    VT=No LN2 Fill
01-20-2015 14:53 (05:50) abastian 2022263503020000 1H|13C Chloroform-d|DMSO VT=No None
01-20-2015 21:15 (04:09) lsun4 3500713112010001 1H DMSO VT=60 None
01-21-2015 08:54 (08:05) gliu3 3720133503010001 1H  VT=No None
01-21-2015 09:12 (00:12) jmeloche 2018953503020000 1H Chloroform-d VT=No None
01-21-2015 10:00 (00:15) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-21-2015 10:36 (00:24) svilanov 3414043503010001 1H|13C Chloroform-d|Benzene-d6 VT=No None
01-21-2015 11:14 (00:13) abastian 2022263503020000 1H|13C Chloroform-d VT=No None
01-21-2015 11:52 (00:34) ddicosmo 9999999150 1H|31P DMSO VT=No None
01-21-2015 12:35 (00:23) mgrigalu 2018973503020000 1H|13C Chloroform-d VT=No None
01-21-2015 14:33 (00:18) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
01-21-2015 15:09 (00:21) xwang33 3830603500010001 1H|13C Other VT=No None
01-21-2015 15:18 (00:07) abastian 2022263503020000 1H Chloroform-d VT=No None
01-21-2015 16:27 (00:27) dbabbini 3414043503010001 1H|13C|31P Benzene-d6 VT=No None
